,PERMIT_TYPE,REVIEW_TYPE,PROCESSING_TIME,BUILDING_FEE_PAID,ZONING_FEE_PAID,OTHER_FEE_PAID,SUBTOTAL_PAID,BUILDING_FEE_UNPAID,ZONING_FEE_UNPAID,OTHER_FEE_UNPAID,SUBTOTAL_UNPAID,BUILDING_FEE_WAIVED,ZONING_FEE_WAIVED,OTHER_FEE_WAIVED,SUBTOTAL_WAIVED,TOTAL_FEE,REPORTED_COST,COMMUNITY_AREA,CENSUS_TRACT,WARD,IS_PERMIT_VALID
4629,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,13,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,28315.0,63,630400,14,1
4632,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,13,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,18590.0,62,620300,13,1
4634,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2,375.0,0.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,3500.0,72,720100,19,1
4637,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,12,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,17160.0,63,835100,16,1
4639,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,12,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,10725.0,16,161100,45,1
4640,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,12,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,15186.0,70,700401,18,1
4641,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,64,750.0,0.0,0.0,750.0,0.0,0,0.0,0.0,0.0,0,0,0.0,750.0,4775.0,32,839100,42,1
4647,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,2,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,68000.0,28,841900,25,1
4661,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,1,75.0,0.0,34.0,109.0,0.0,0,0.0,0.0,0.0,0,0,0.0,109.0,500.0,7,71300,43,1
4667,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,13,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,26208.0,24,242500,26,1
4680,PERMIT - SIGNS,SIGN PERMIT,147,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,5000.0,6,62300,44,1
4684,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,33,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,15,150300,38,1
4686,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,10,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,15000.0,14,140602,35,1
4687,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1,302.0,50.0,0.0,352.0,0.0,0,0.0,0.0,0.0,0,0,0.0,352.0,27000.0,22,832300,32,1
4689,PERMIT - SIGNS,SIGN PERMIT,1,0.0,200.0,0.0,200.0,150.0,0,0.0,150.0,0.0,0,0,0.0,350.0,2000.0,6,60900,46,1
4690,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,18,0.0,0.0,0.0,0.0,802.0,50,0.0,852.0,0.0,0,0,0.0,852.0,1748356.0,28,281900,42,0
4699,PERMIT - ELECTRIC WIRING,ELECTRICAL PLAN REVIEW,8,375.0,0.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,25000.0,69,691400,6,1
4700,PERMIT - SIGNS,SIGN PERMIT,141,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,1800.0,8,81201,42,1
4701,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,84,500.0,50.0,0.0,550.0,0.0,0,0.0,0.0,0.0,0,0,0.0,550.0,35000.0,29,292200,24,1
4709,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,3,500.0,50.0,0.0,550.0,0.0,0,0.0,0.0,0.0,0,0,0.0,550.0,23634.0,47,470100,8,1
4716,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11,225.0,50.0,0.0,275.0,0.0,0,0.0,0.0,0.0,0,0,0.0,275.0,10746.0,22,221500,1,1
4719,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,3,225.0,0.0,0.0,225.0,0.0,0,0.0,0.0,0.0,0,0,0.0,225.0,500.0,61,610800,11,1
4720,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,18,302.0,50.0,0.0,352.0,0.0,0,0.0,0.0,0.0,0,0,0.0,352.0,16000.0,3,31700,46,1
4726,PERMIT - SIGNS,SIGN PERMIT,19,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,600.0,61,611900,16,1
4734,PERMIT - SIGNS,SIGN PERMIT,1,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,1500.0,10,100300,41,1
4739,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,2,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,40000.0,6,62800,32,1
4741,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,32,936.0,75.0,0.0,1011.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1011.0,40000.0,66,660900,17,1
